
Calibrated on 01/25/06 07:06:33
,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24
X Row A, 101.842, 152.703, 203.564, 241.709, 292.57, 343.431, 381.577, 432.437, 483.298, 521.444, 572.305, 623.165, 661.311, 712.172, 763.033, 801.178, 852.039, 902.9, 941.046, 991.906, 1042.77, 1080.91, 1131.77, 1182.63
X Row B, 101.734, 152.595, 203.456, 241.601, 292.462, 343.323, 381.469, 432.329, 483.19, 521.336, 572.197, 623.057, 661.203, 712.064, 762.925, 801.07, 851.931, 902.792, 940.938, 991.798, 1042.66, 1080.8, 1131.67, 1182.53
X Row C, 101.626, 152.487, 203.348, 241.493, 292.354, 343.215, 381.361, 432.221, 483.082, 521.228, 572.089, 622.949, 661.095, 711.956, 762.817, 800.962, 851.823, 902.684, 940.83, 991.69, 1042.55, 1080.7, 1131.56, 1182.42
X Row D, 101.518, 152.379, 203.24, 241.385, 292.246, 343.107, 381.253, 432.113, 482.974, 521.12, 571.981, 622.841, 660.987, 711.848, 762.709, 800.854, 851.715, 902.576, 940.722, 991.582, 1042.44, 1080.59, 1131.45, 1182.31
X Row E, 101.41, 152.271, 203.132, 241.277, 292.138, 342.999, 381.145, 432.005, 482.866, 521.012, 571.873, 622.733, 660.879, 711.74, 762.601, 800.746, 851.607, 902.468, 940.613, 991.474, 1042.34, 1080.48, 1131.34, 1182.2
X Row F, 101.302, 152.163, 203.024, 241.169, 292.03, 342.891, 381.037, 431.897, 482.758, 520.904, 571.765, 622.625, 660.771, 711.632, 762.493, 800.638, 851.499, 902.36, 940.505, 991.366, 1042.23, 1080.37, 1131.23, 1182.09
X Row G, 101.194, 152.055, 202.916, 241.061, 291.922, 342.783, 380.929, 431.789, 482.65, 520.796, 571.657, 622.517, 660.663, 711.524, 762.385, 800.53, 851.391, 902.252, 940.397, 991.258, 1042.12, 1080.26, 1131.13, 1181.99
Y Row A, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05, -28.05
Y Row B, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047, 22.8047
Y Row C, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594, 73.6594
